training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,validation/actor/actor_loss,validation/actor/bound_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/alpha/current_vs_historical_ratio,validation/alpha/historical_avg_loss,validation/alpha/max_alpha_bound,validation/alpha/min_alpha_bound,validation/alpha/valid_count,validation/alpha_weight,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/meanflow/consistency_loss,validation/meanflow/flow_loss,validation/meanflow/mean_flow_loss,validation/total_loss,time/epoch_time,time/total_time,step,exploration/xy,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration
113.33761,0.010025211,0.16286351,-113.32758,113.32758,0.8610775,0.37401462,1500.0,15.0,20,150.0,0.51325977,-10.133423,-113.367966,-136.27977,11.824225,-10.88058,808.35815,0.02717159,0.32205555,0.32205555,1e-04,0.0003,162.1592,107.23433,0.008808626,0.15522437,-107.22552,107.22552,0.8695651,0.36858314,1500.0,15.0,20,150.0,8.735184,-1.0374882,-107.21954,-136.64563,0.027360134,0.32050705,0.32050705,164.04556,0.003777007293701172,389.13205671310425,50000,,,,,,,,,,,
115.231224,0.008189481,0.16254446,-115.22304,115.22304,0.9360464,0.36562654,1500.0,15.0,20,150.0,0.42757797,0.90892833,-115.28817,-141.08397,10.050014,-12.6259,787.2837,0.027137263,0.34224343,0.34224343,9.999385e-05,0.0003,166.99532,108.08087,0.0072235027,0.16525021,-108.07365,108.07365,1.0504668,0.36562654,1500.0,15.0,20,150.0,2.224632,-0.51939726,-108.136665,-141.3716,0.0282218,0.38407856,0.38407856,167.9173,0.0036882286071777343,407.5732066631317,55000,,,,,,,,,,,
121.074394,0.0062544057,0.17248954,-121.06814,121.06814,1.0699884,0.35925004,1500.0,15.0,20,150.0,0.51372206,0.028937295,-121.13672,-142.45453,13.361054,-9.8980255,675.7875,0.029974228,0.38439333,0.38439333,9.99754e-05,0.0003,179.24712,111.9237,0.0071344143,0.18092845,-111.916565,111.916565,1.0205697,0.36067516,1500.0,15.0,20,150.0,1.3807033,0.31238428,-111.9287,-144.10785,0.03110295,0.36809415,0.36809415,168.51852,0.003786210584640503,426.5042669773102,60000,,,,,,,,,,,
119.73606,0.009907851,0.17167152,-119.72615,119.72615,0.9736085,0.3588961,1500.0,15.0,20,150.0,0.5342173,-7.2861886,-119.702995,-148.30869,14.337931,-10.92342,671.33514,0.029704433,0.3494243,0.3494243,9.994465e-05,0.0003,172.68393,116.68109,0.0089953635,0.16787371,-116.6721,116.6721,0.8884626,0.3588961,1500.0,15.0,20,150.0,4.3011165,0.32256716,-116.714035,-147.87434,0.02910341,0.31886578,0.31886578,168.81207,0.003697258758544922,444.9905686378479,65000,,,,,,,,,,,
122.45254,0.0072127823,0.1616334,-122.44533,122.44533,0.92385083,0.35366127,1500.0,15.0,20,150.0,2.2514544,0.24029687,-122.47648,-150.65489,19.424763,-10.3585005,790.2075,0.028418332,0.32673025,0.32673025,9.990162e-05,0.0003,173.71353,120.76801,0.006888726,0.15893315,-120.76112,120.76112,0.8127536,0.350497,1500.0,15.0,20,150.0,1.182692,-1.8952785,-120.79014,-150.19986,0.026257113,0.2848677,0.2848677,164.68086,0.003758555030822754,463.7833502292633,70000,,,,,,,,,,,
125.86999,0.0061588916,0.15972093,-125.86383,125.86383,1.0412781,0.34879106,1500.0,15.0,20,150.0,2.240302,-1.7903376,-125.93363,-153.4284,9.557945,-9.901478,816.85114,0.027621258,0.3631885,0.3631885,9.984629e-05,0.0003,182.58856,118.21814,0.0059435517,0.15826882,-118.2122,118.2122,0.95579726,0.34879106,1500.0,15.0,20,150.0,2.8144784,0.27643597,-118.22801,-152.84378,0.029613899,0.33337355,0.33337355,171.03865,0.003704823684692383,482.30747509002686,75000,,,,,,,,,,,
129.31032,0.0053876946,0.16152954,-129.30493,129.30493,1.0040535,0.3471138,1500.0,15.0,20,150.0,0.7936301,-21.071617,-129.35184,-156.28847,9.642097,-13.456688,585.7795,0.026632076,0.34852082,0.34852082,9.977873e-05,0.0003,182.38206,120.03077,0.0052724914,0.16229413,-120.0255,120.0255,1.0004883,0.3459765,1500.0,15.0,20,150.0,1.3101985,-5.207142,-120.09743,-156.12862,0.031125814,0.34614545,0.34614545,173.26279,0.003759454011917114,501.10475182533264,80000,,,,,,,,,,,
126.22753,0.004872825,0.14806435,-126.22266,126.22266,1.0377954,0.34324175,1500.0,15.0,20,150.0,0.7424568,-1.2595116,-126.21647,-159.84184,10.614931,-14.41186,649.504,0.030584943,0.35621473,0.35621473,9.969891e-05,0.0003,180.40219,123.75843,0.005103291,0.15831263,-123.75333,123.75333,0.9765438,0.34324175,1500.0,15.0,20,150.0,2.1494346,-13.307453,-123.67429,-156.16096,0.03165341,0.3351906,0.3351906,176.18646,0.003694325304031372,519.5763850212097,85000,,,,,,,,,,,
128.90207,0.007806653,0.16974974,-128.89426,128.89426,1.0063473,0.3393753,1500.0,15.0,20,150.0,1.1801958,-2.292504,-128.92453,-160.76132,7.350461,-10.127898,578.69006,0.02896299,0.3415294,0.3415294,9.9606885e-05,0.0003,181.31168,125.42651,0.0062520145,0.1703162,-125.420265,125.420265,0.968449,0.34034896,1500.0,15.0,20,150.0,1.4053845,-0.47548908,-125.44672,-158.56566,0.030285606,0.32961062,0.32961062,176.2735,0.0037719656467437744,538.4362199306488,90000,,,,,,,,,,,
130.7093,0.006328008,0.14294137,-130.70297,130.70297,0.9811996,0.3363205,1500.0,15.0,20,150.0,0.83602124,-7.014437,-130.7283,-164.15556,6.802032,-7.6079435,554.03485,0.023383657,0.32999754,0.32999754,9.950265e-05,0.0003,181.04495,126.132164,0.0060230074,0.15299052,-126.126144,126.126144,0.9234033,0.3363205,1500.0,15.0,20,150.0,1.5405176,-1.6121331,-126.13484,-162.16591,0.02432985,0.31055945,0.31055945,174.2566,0.0037024925231933592,556.9486892223358,95000,,,,,,,,,,,
