training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,90000.0,900.0,0,9000.0,16.908583,3.8545947,0.30013457,-3.0868514,13353.893,-13591.726,284245.66,0.0,1.0299811,1.0299811,0.0,0.0003,9286.738,0.0017271334648132324,8.63568925857544,0,,,,,,,,,,,,,,,,,,,,,,,
0.011762675,0.0,24999218.0,0.0,90000.0,900.0,2,9000.0,1.4438727,460.9985,39.547314,-9.554356,4671.424,-4575.9395,309533.75,0.0,0.24999218,0.24999218,1e-05,0.0003,2251.3853,0.012179461765289307,69.53313827514648,5000,,,,,,,,,,,,,,,,,,,,,,,
0.0047765183,0.0,20272530.0,0.0,90000.0,900.0,4,9000.0,4.9809427,841.04065,95.11779,-13.458463,6654.1934,-8063.452,251729.31,0.0,0.20272529,0.20272529,2e-05,0.0003,1829.5133,0.007574946355819702,107.40799617767334,10000,,,,,,,,,,,,,,,,,,,,,,,
0.008675831,0.0,14361978.0,0.0,90000.0,900.0,7,9000.0,3.075491,1142.0771,148.77144,-18.466305,4607.147,-3671.1973,169271.56,0.0,0.14361978,0.14361978,3e-05,0.0003,1295.6621,0.0076745390892028805,145.78082847595215,15000,,,,,,,,,,,,,,,,,,,,,,,
0.0066503272,0.0,16091424.0,0.0,90000.0,900.0,9,9000.0,3.5074263,1379.8184,168.99039,-24.1889,6268.9146,-4941.098,126081.34,0.0,0.16091424,0.16091424,4e-05,0.0003,1451.7422,0.007997176170349122,185.76685667037964,20000,,,,,,,,,,,,,,,,,,,,,,,
0.007838781,0.0,1.291323,0.10316076,90000.0,900.0,12,9000.0,3.8884366,1559.5183,224.98303,-30.35126,5401.7554,-5778.819,100485.96,0.0,0.13321386,0.13321386,5e-05,0.0003,1202.821,0.007908711624145508,225.3105595111847,25000,,,,,,,,,,,,,,,,,,,,,,,
0.007072302,0.0,1.0753509,0.13842127,90000.0,900.0,14,9000.0,8.318562,1693.7579,280.51447,-42.920216,8286.744,-8420.687,95293.08,0.0,0.14885144,0.14885144,6e-05,0.0003,1347.9886,0.008021693801879884,265.41916012763977,30000,,,,,,,,,,,,,,,,,,,,,,,
0.0075891837,0.0,0.7509679,0.16331376,90000.0,900.0,17,9000.0,19.803295,1800.584,319.13043,-72.80184,3180.7134,-6591.7705,95125.46,0.0,0.122643396,0.122643396,6.9999995e-05,0.0003,1123.6014,0.00785508017539978,304.69468450546265,35000,,,,,,,,,,,,,,,,,,,,,,,
0.0065303226,0.0,0.68565917,0.17169513,90000.0,900.0,19,9000.0,25.857658,1883.0077,334.9412,-119.08789,7749.629,-4991.82,67952.97,0.0,0.11772433,0.11772433,8e-05,0.0003,1085.383,0.00779005126953125,343.6450674533844,40000,,,,,,,,,,,,,,,,,,,,,,,
0.0065559214,0.0,0.7772328,0.14745432,90000.0,900.0,20,9000.0,17.588085,1953.8218,321.07352,-172.98152,2180.3308,-7200.161,70922.12,0.0,0.114606336,0.114606336,8.9999994e-05,0.0003,1049.0516,0.007963504409790038,383.4627094268799,45000,,,,,,,,,,,,,,,,,,,,,,,
0.006962091,0.0,0.7596486,0.13789813,90000.0,900.0,20,9000.0,62.64012,2013.35,359.90173,-243.93677,3738.8704,-2403.14,58592.914,0.0,0.10475412,0.10475412,1e-04,0.0003,1005.4342,0.0076838454246521,421.8820695877075,50000,,,,,,,,,,,,,,,,,,,,,,,
0.005829592,0.0,0.9064846,0.12627359,90000.0,900.0,20,9000.0,29.49313,2056.1133,356.748,-307.40283,1898.0928,-3222.5947,57431.1,0.0,0.114465065,0.114465065,9.999385e-05,0.0003,1059.6844,0.007744547986984253,460.60494780540466,55000,,,,,,,,,,,,,,,,,,,,,,,
