training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0,0.0,1.0,0.0,100.0,1.0,0,10.0,2.8375733,4.8073044,0.3651948,-3.992136,30.048584,-27.067753,403.49374,0.0,1.3283899,1.3283899,0.0,0.0003,16.121473,0.00764832091331482,38.24191951751709,0,,,,,,,,,,,,,,,,,,,,,,
0.025247542,0.0,67982970.0,0.0,100.0,1.0,2,10.0,0.11759546,-0.7327664,-21.799343,-25.033184,18.474596,-18.35987,467.3639,0.0,0.6798297,0.6798297,1e-05,0.0003,6.9411397,0.028566205978393554,181.0730004310608,5000,,,,,,,,,,,,,,,,,,,,,,
0.018341266,0.0,66859412.0,0.0,100.0,1.0,4,10.0,0.21035917,0.5809755,-37.323933,-42.123386,18.837452,-12.879608,439.84454,0.0,0.6685941,0.6685941,2e-05,0.0003,6.914642,0.007973480367660522,220.9405438899994,10000,,,,,,,,,,,,,,,,,,,,,,
0.008238323,0.0,60281216.0,0.0,100.0,1.0,7,10.0,0.4213009,-0.6725483,-49.330612,-55.28351,8.614093,-11.526215,359.94336,0.0,0.6028122,0.6028122,3e-05,0.0003,6.457661,0.008041933298110962,261.15032935142517,15000,,,,,,,,,,,,,,,,,,,,,,
0.004802646,0.0,64145510.0,0.0,100.0,1.0,9,10.0,0.26792526,-2.3734274,-59.148438,-65.00484,7.3198767,-6.535855,253.31564,0.0,0.6414551,0.6414551,4e-05,0.0003,6.687279,0.007927581977844239,300.7882788181305,20000,,,,,,,,,,,,,,,,,,,,,,
0.0050228373,0.0,2.073277,0.24340276,100.0,1.0,12,10.0,0.48788524,0.014182478,-65.24245,-73.1507,6.021345,-4.2684755,214.64975,0.0,0.5046413,0.5046413,5e-05,0.0003,5.539321,0.008017125177383422,340.87394309043884,25000,,,,,,,,,,,,,,,,,,,,,,
0.0059053297,0.0,1.6270635,0.38488546,100.0,1.0,14,10.0,0.628051,0.16090533,-71.037094,-80.40536,6.628132,-7.88448,249.84795,0.0,0.6262331,0.6262331,6e-05,0.0003,6.8962874,0.008250361251831055,382.1258022785187,30000,,,,,,,,,,,,,,,,,,,,,,
0.0071854163,0.0,1.0723119,0.51201576,100.0,1.0,17,10.0,0.41546944,0.5210549,-75.10888,-85.43727,10.509675,-14.621653,185.67703,0.0,0.54904056,0.54904056,6.9999995e-05,0.0003,5.91306,0.007949817037582397,421.8749256134033,35000,,,,,,,,,,,,,,,,,,,,,,
0.0051810434,0.0,0.9695957,0.578577,100.0,1.0,19,10.0,0.41138774,0.25256458,-76.82442,-89.43766,3.3469157,-6.5708475,160.31194,0.0,0.56098574,0.56098574,8e-05,0.0003,6.0264263,0.007979868412017822,461.7743124961853,40000,,,,,,,,,,,,,,,,,,,,,,
0.006112134,0.0,0.90832204,0.58228546,100.0,1.0,20,10.0,0.4170023,-0.28480345,-77.73189,-91.5168,2.3472939,-3.107819,137.75404,0.0,0.5289027,0.5289027,8.9999994e-05,0.0003,5.7121415,0.008383859968185425,503.69365525245667,45000,,,,,,,,,,,,,,,,,,,,,,
0.00733498,0.0,0.8101801,0.5641401,100.0,1.0,20,10.0,1.5722991,0.04232815,-79.041695,-94.07221,2.4347334,-2.2205744,148.66315,0.0,0.4570551,0.4570551,1e-04,0.0003,6.150185,0.007924205255508424,543.3147954940796,50000,,,,,,,,,,,,,,,,,,,,,,
0.011208907,0.0,0.86307025,0.54258305,100.0,1.0,20,10.0,0.27462775,-0.24316595,-81.76587,-96.74948,2.1335835,-1.8046399,107.11076,0.0,0.4682873,0.4682873,9.999385e-05,0.0003,4.9687095,0.008408487367630006,585.3572850227356,55000,,,,,,,,,,,,,,,,,,,,,,
0.0060658855,0.0,0.95562905,0.54424995,100.0,1.0,20,10.0,0.49792588,-0.38915318,-80.49361,-95.86544,2.7447493,-1.7153503,125.99385,0.0,0.5201011,0.5201011,9.99754e-05,0.0003,5.7050023,0.007964315938949584,625.178905248642,60000,,,,,,,,,,,,,,,,,,,,,,
0.004586309,0.0,0.8313769,0.53525037,100.0,1.0,20,10.0,0.44915146,0.28485444,-79.61192,-97.09295,1.6697049,-2.204688,99.30983,0.0,0.44499478,0.44499478,9.994465e-05,0.0003,4.9036856,0.008182050657272339,666.0891847610474,65000,,,,,,,,,,,,,,,,,,,,,,
0.005817652,0.0,0.8885311,0.5275607,100.0,1.0,20,10.0,0.56042874,-0.25325155,-80.57736,-97.698586,2.1762934,-1.8200442,123.2881,0.0,0.4687541,0.4687541,9.990162e-05,0.0003,5.2537875,0.0076935498237609866,704.5570495128632,70000,,,,,,,,,,,,,,,,,,,,,,
0.0063542672,0.0,1.022239,0.5129783,100.0,1.0,20,10.0,0.29129258,-0.021775246,-81.36414,-103.89724,2.4038496,-1.79467,93.26102,0.0,0.5243864,0.5243864,9.984629e-05,0.0003,5.541511,0.007880177211761475,743.9579775333405,75000,,,,,,,,,,,,,,,,,,,,,,
0.0037486302,0.0,0.9760969,0.5051922,100.0,1.0,20,10.0,0.6694342,-0.42113316,-80.520905,-98.78198,1.8230636,-1.5715477,97.92293,0.0,0.49311656,0.49311656,9.977873e-05,0.0003,5.6043487,0.007683504772186279,782.3756103515625,80000,,,,,,,,,,,,,,,,,,,,,,
0.003981062,0.0,0.93128306,0.4946797,100.0,1.0,20,10.0,0.4000627,0.5172839,-81.28044,-99.50294,1.9846294,-2.28573,92.05282,0.0,0.4606868,0.4606868,9.969891e-05,0.0003,5.0109115,0.007652478313446045,820.6380462646484,85000,,,,,,,,,,,,,,,,,,,,,,
0.002956227,0.0,0.9532922,0.49473953,100.0,1.0,20,10.0,0.47291,-0.04185532,-80.98675,-99.19516,2.4278758,-1.269204,94.415245,0.0,0.47163135,0.47163135,9.9606885e-05,0.0003,5.1921797,0.0076393319606781005,858.8347470760345,90000,,,,,,,,,,,,,,,,,,,,,,
0.0063259527,0.0,1.003851,0.49078178,100.0,1.0,20,10.0,0.29278198,0.22262082,-81.47482,-101.47374,2.1188326,-1.5621214,94.09559,0.0,0.4926718,0.4926718,9.950265e-05,0.0003,5.225826,0.007429060411453247,895.9800808429718,95000,,,,,,,,,,,,,,,,,,,,,,
0.003626984,0.0,1.0117285,0.48653656,100.0,1.0,20,10.0,0.49380785,-0.14495404,-83.44719,-104.959366,9.481362,-7.8730593,191.28792,0.0,0.4922429,0.4922429,9.938626e-05,0.0003,5.4198637,0.007535911273956299,933.6597304344177,100000,,,,,,,,,,,,,,,,,,,,,,
0.00097468833,0.0,1.0483736,0.4828659,100.0,1.0,20,10.0,0.4887476,-0.83686614,-83.35292,-99.774765,1.9164975,-1.5303732,96.24406,0.0,0.50622386,0.50622386,9.9257726e-05,0.0003,5.551961,0.024159706115722657,1054.4585280418396,105000,,,,,,,,,,,,,,,,,,,,,,
0.0038281525,0.0,0.9199139,0.4836877,100.0,1.0,20,10.0,0.64902747,-0.025010884,-78.80332,-99.738174,2.1285841,-1.942704,125.44556,0.0,0.44495106,0.44495106,9.91171e-05,0.0003,5.1023664,0.00879775161743164,1098.4475581645966,110000,,,,,,,,,,,,,,,,,,,,,,
0.0076939682,0.0,1.0213908,0.47995314,100.0,1.0,20,10.0,0.41014713,-1.2737553,-83.65054,-102.83472,1.6239121,-2.4249597,85.896225,0.0,0.49021977,0.49021977,9.896442e-05,0.0003,5.320039,0.009375320291519164,1145.32444357872,115000,,,,,,,,,,,,,,,,,,,,,,
0.0022319723,0.0,1.0972775,0.48185807,100.0,1.0,20,10.0,0.34558478,0.015423492,-81.68309,-100.07796,1.8170309,-2.5257328,87.64197,0.0,0.528732,0.528732,9.8799705e-05,0.0003,5.635137,0.009273364639282227,1191.6915442943573,120000,,,,,,,,,,,,,,,,,,,,,,
0.0019089538,0.0,1.0849342,0.48416534,100.0,1.0,20,10.0,0.23765266,0.32299736,-79.09717,-99.66118,1.2478579,-1.4824944,78.75979,0.0,0.52528757,0.52528757,9.8623015e-05,0.0003,5.4924374,0.00943945484161377,1238.8890933990479,125000,,,,,,,,,,,,,,,,,,,,,,
0.0027148565,0.0,0.88527876,0.48276266,100.0,1.0,20,10.0,0.3390939,0.06426686,-81.062485,-104.78997,1.2972807,-2.120795,88.60721,0.0,0.42737955,0.42737955,9.843441e-05,0.0003,4.6156044,0.008759676027297974,1282.687752008438,130000,,,,,,,,,,,,,,,,,,,,,,
0.0034211332,0.0,0.938317,0.48054272,100.0,1.0,20,10.0,0.53031063,0.035483286,-78.81116,-100.32204,2.0773618,-1.8889654,75.35637,0.0,0.4509014,0.4509014,9.823391e-05,0.0003,5.042746,0.008795616149902343,1326.6661133766174,135000,,,,,,,,,,,,,,,,,,,,,,
0.007345706,0.0,1.0473919,0.4784957,100.0,1.0,20,10.0,0.25068814,0.66584516,-80.676735,-100.05886,1.6273534,-1.3267573,80.907295,0.0,0.5011725,0.5011725,9.8021614e-05,0.0003,5.2697587,0.008898755502700806,1371.160151720047,140000,,,,,,,,,,,,,,,,,,,,,,
0.0017015298,0.0,0.9293365,0.4793059,100.0,1.0,20,10.0,0.31550962,0.1934224,-79.90068,-99.942566,1.597662,-1.4988048,77.24925,0.0,0.44543648,0.44543648,9.779754e-05,0.0003,4.771576,0.009168871259689331,1417.004788160324,145000,,,,,,,,,,,,,,,,,,,,,,
