training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
75.244156,0.0027890354,0.23163387,-75.24136,75.24136,0.86042386,0.5174174,500.0,5.0,20,50.0,0.8638981,-12.277878,-75.26403,-97.978806,12.624134,-14.516592,451.57513,0.058529787,0.44519827,0.44519827,9.9606885e-05,0.0003,98.367966,0.003701357316970825,465.089143037796,90000,,,,,,
74.90738,0.015552247,0.2607606,-74.89183,74.89183,0.95494264,0.5023593,500.0,5.0,20,50.0,0.47026974,-4.0542293,-74.91452,-98.42854,11.454172,-11.907427,379.49432,0.056361962,0.47972432,0.47972432,9.950265e-05,0.0003,99.36386,0.0036933017730712892,483.55565571784973,95000,,,,,,
75.63827,0.014657663,0.2735439,-75.62361,75.62361,0.9202315,0.49689728,500.0,5.0,20,50.0,0.5806439,-7.0170326,-75.63016,-98.69543,10.212637,-9.761221,387.54956,0.06858274,0.45726055,0.45726055,9.938626e-05,0.0003,99.08194,0.0036375468254089354,501.74339389801025,100000,,,,,,
75.91041,0.0066791847,0.22313996,-75.90373,75.90373,0.90252036,0.48448324,500.0,5.0,20,50.0,0.5367956,-0.10903597,-75.92453,-98.02587,9.976842,-13.677975,379.5407,0.06999697,0.43725598,0.43725598,9.9257726e-05,0.0003,98.310005,0.01680767431259155,585.781769990921,105000,,,,,,
76.14549,0.0072683063,0.24024275,-76.13822,76.13822,0.9672826,0.4886294,500.0,5.0,20,50.0,0.7613797,-0.48475027,-76.151505,-98.06176,11.011558,-15.640241,382.01337,0.051966168,0.47264272,0.47264272,9.91171e-05,0.0003,100.53901,0.0037098234176635744,604.3308913707733,110000,,,,,,
76.281746,0.009223104,0.24960458,-76.27252,76.27252,1.0601504,0.48284623,500.0,5.0,20,50.0,0.53866357,-10.476848,-76.29939,-127.45371,12.329669,-9.131582,424.56897,0.06637681,0.51188964,0.51188964,9.896442e-05,0.0003,102.414894,0.003706940174102783,622.8655970096588,115000,,,,,,
77.484955,0.0044636787,0.2602168,-77.48049,77.48049,0.9936828,0.47598305,500.0,5.0,20,50.0,0.39244902,-11.672355,-77.428215,-98.074684,11.690786,-10.618922,381.2541,0.06055543,0.47297615,0.47297615,9.8799705e-05,0.0003,101.526215,0.003638215970993042,641.0566809177399,120000,,,,,,
76.337425,0.0070598647,0.24612583,-76.33037,76.33037,0.9473043,0.46997306,500.0,5.0,20,50.0,0.3860826,-12.785832,-76.33383,-98.21972,8.324707,-15.799134,382.4865,0.06669891,0.44520748,0.44520748,9.8623015e-05,0.0003,98.98389,0.0037198925971984862,659.6561477184296,125000,,,,,,
78.92207,0.0071118195,0.23641124,-78.91496,78.91496,0.9337132,0.47501573,500.0,5.0,20,50.0,0.538912,-9.017967,-78.9344,-137.9677,9.241544,-7.7415614,372.43417,0.05426957,0.4435284,0.4435284,9.843441e-05,0.0003,101.637405,0.0037004610538482665,678.1584570407867,130000,,,,,,
76.63596,0.0050599854,0.25555587,-76.630905,76.630905,0.96350867,0.47708675,500.0,5.0,20,50.0,0.6366236,-9.470489,-76.78451,-137.77435,10.849959,-13.406392,373.68524,0.059595034,0.45967722,0.45967722,9.823391e-05,0.0003,100.256454,0.0036354349136352537,696.3356354236603,135000,,,,,,
78.398575,0.0064727264,0.26665917,-78.392105,78.392105,1.0733668,0.48338452,500.0,5.0,20,50.0,0.88598037,-0.6648949,-78.39872,-141.52374,7.593296,-8.724171,407.97714,0.07212141,0.5188489,0.5188489,9.8021614e-05,0.0003,105.227,0.003704434061050415,714.8578100204468,140000,,,,,,
73.843025,0.010044851,0.28894246,-73.83298,73.83298,1.0330908,0.48271093,500.0,5.0,20,50.0,0.5268549,-1.8813008,-73.8907,-143.38446,7.658366,-9.827006,374.69775,0.06721684,0.4986843,0.4986843,9.779754e-05,0.0003,99.30409,0.003690554141998291,733.3105845451355,145000,,,,,,
72.6524,0.0062570125,0.2210372,-72.64614,72.64614,1.1228856,0.47902003,500.0,5.0,20,50.0,0.71187663,0.41244814,-72.64421,-97.906105,9.654892,-11.315224,392.6051,0.06654284,0.53788465,0.53788465,9.756177e-05,0.0003,100.25851,0.004215532445907593,754.3882510662079,150000,,,,,,
