training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.3393693,0.0,0.72451663,0.3393693,-0.3393693,1.0,0.0,100000.0,1000.0,0,10000.0,1331.9696,3.480863,0.36243343,-2.722119,20164.576,-20946.604,386015.44,0.13529155,1.1102563,1.1102563,0.0,0.0003,12434.193,0.007674436473846436,38.37218642234802,0,,,,,,,
-501.92853,0.062154524,0.0703478,501.9907,-501.9907,25300450.0,0.0,100000.0,1000.0,2,10000.0,632.2625,1007.9285,504.20343,-3.1012645,5752.5654,-5842.3555,192029.81,0.016416859,0.2530045,0.2530045,1e-05,0.0003,2660.379,0.007137082529067993,74.05760192871094,5000,,,,,,,
-1123.6996,0.038394544,0.041639656,1123.738,-1123.738,17477744.0,0.0,100000.0,1000.0,4,10000.0,1642.6426,2076.4543,1124.0334,17.151114,10615.38,-5435.901,179817.72,0.0069052665,0.17477745,0.17477745,2e-05,0.0003,2266.7175,0.0037187289237976076,92.65125060081482,10000,,,,,,,
-1709.8271,0.029108817,0.02880035,1709.8562,-1709.8562,12723443.0,0.0,100000.0,1000.0,7,10000.0,1635.9326,3036.787,1710.4045,-7.4317527,8079.7383,-8464.124,163269.88,0.0060063526,0.12723443,0.12723443,3e-05,0.0003,1198.4497,0.0037209379196166993,111.25594425201416,15000,,,,,,,
-2102.6538,0.022903556,0.022583393,2102.6768,-2102.6768,14736089.0,0.0,100000.0,1000.0,9,10000.0,3118.8584,3826.5557,2103.0288,-73.116615,16952.975,-6497.1533,228683.86,0.004623538,0.14736089,0.14736089,4e-05,0.0003,2489.8135,0.0036866580486297606,129.68923830986023,20000,,,,,,,
-2698.514,0.0241028,0.026114097,2698.538,-2698.538,1.1635383,0.09127562,100000.0,1000.0,12,10000.0,4386.952,4461.5615,2700.0264,-160.8111,9066.583,-15262.941,296031.97,0.005091745,0.10620268,0.10620268,5e-05,0.0003,2750.4648,0.003715837621688843,148.26842999458313,25000,,,,,,,
-3025.0994,0.02461382,0.031011403,3025.124,-3025.124,0.95161444,0.12268931,100000.0,1000.0,14,10000.0,14087.055,4965.915,3020.7273,-250.9353,8065.4,-9987.325,336954.88,0.0037360329,0.11675291,0.11675291,6e-05,0.0003,12229.484,0.003735493755340576,166.94590282440186,30000,,,,,,,
-3211.2583,0.025398795,0.0248593,3211.2837,-3211.2837,0.91056025,0.14356416,100000.0,1000.0,17,10000.0,9452.51,5365.3633,3208.4863,-309.92343,8121.1924,-13231.127,373700.06,0.004794668,0.13072382,0.13072382,6.9999995e-05,0.0003,7548.4897,0.0037066744327545168,185.47927904129028,35000,,,,,,,
-3643.4956,0.022973936,0.022427663,3643.5186,-3643.5186,0.8030339,0.15338956,100000.0,1000.0,19,10000.0,7318.884,5680.133,3638.0217,-384.69498,13260.953,-9405.196,345193.12,0.0036893315,0.123177014,0.123177014,8e-05,0.0003,4907.158,0.0037102742671966554,204.03065419197083,40000,,,,,,,
-3638.6936,0.020338591,0.018446114,3638.7139,-3638.7139,0.8667627,0.13685814,100000.0,1000.0,20,10000.0,18656.086,5892.117,3636.6519,-464.97717,13848.884,-10334.889,554602.8,0.0035334043,0.118623525,0.118623525,8.9999994e-05,0.0003,16203.628,0.003667836570739746,222.36984133720398,45000,,,,,,,
