training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0045104306,0.0,0.9190154,0.45855203,500.0,5.0,20,50.0,2.3652987,-1.8217475,-75.23468,-98.42787,19.783905,-19.337763,703.8753,0.0,0.4214164,0.4214164,9.969891e-05,0.0003,23.440628,0.007487379121780395,744.5628101825714,85000,,,,,,,,,,,,,,,,,,,,,,
0.0078045144,0.0,0.9836952,0.45462218,500.0,5.0,20,50.0,1.1822056,-10.868197,-76.260925,-98.79076,9.875158,-6.117835,356.90228,0.0,0.4472097,0.4472097,9.9606885e-05,0.0003,23.550495,0.00750320234298706,782.0788991451263,90000,,,,,,,,,,,,,,,,,,,,,,
0.009846239,0.0,1.0308194,0.44681722,500.0,5.0,20,50.0,0.5740307,-4.621005,-76.08067,-98.43244,7.0820236,-8.621565,362.05212,0.0,0.46058786,0.46058786,9.950265e-05,0.0003,23.61327,0.0069828921794891355,816.993438243866,95000,,,,,,,,,,,,,,,,,,,,,,
0.010690563,0.0,1.0343978,0.44372326,500.0,5.0,20,50.0,0.7029861,-4.446257,-77.00206,-99.18158,7.076715,-8.015903,392.66098,0.0,0.4589864,0.4589864,9.938626e-05,0.0003,23.662996,0.007180695152282715,852.8969993591309,100000,,,,,,,,,,,,,,,,,,,,,,
0.009352886,0.0,1.0011977,0.43982086,500.0,5.0,20,50.0,0.6518878,0.22875263,-77.73483,-98.95545,8.230145,-7.8661237,369.0337,0.0,0.4403476,0.4403476,9.9257726e-05,0.0003,22.678621,0.022275908613204956,964.2767624855042,105000,,,,,,,,,,,,,,,,,,,,,,
0.0055218036,0.0,0.95369256,0.44446713,500.0,5.0,20,50.0,0.81703687,-0.12521158,-77.965164,-98.933426,5.1960464,-7.4432216,362.96436,0.0,0.42388496,0.42388496,9.91171e-05,0.0003,22.016808,0.008262345314025879,1005.5887145996094,110000,,,,,,,,,,,,,,,,,,,,,,
0.0039046034,0.0,0.9982096,0.44444433,500.0,5.0,20,50.0,0.4096254,-10.039042,-78.22878,-135.64899,5.430884,-6.8257704,383.98706,0.0,0.44364858,0.44364858,9.896442e-05,0.0003,22.595959,0.008154225492477418,1046.3600568771362,115000,,,,,,,,,,,,,,,,,,,,,,
0.0070745237,0.0,0.995711,0.4437623,500.0,5.0,20,50.0,0.59369004,-13.493938,-79.08649,-99.0624,6.521943,-7.8724804,362.04016,0.0,0.441859,0.441859,9.8799705e-05,0.0003,22.693716,0.008554784870147705,1089.1341989040375,120000,,,,,,,,,,,,,,,,,,,,,,
0.01005645,0.0,0.98602146,0.4419384,500.0,5.0,20,50.0,0.29904348,-15.390946,-77.81363,-99.0187,5.31214,-6.1964316,371.56528,0.0,0.4357607,0.4357607,9.8623015e-05,0.0003,22.097134,0.008623365116119384,1132.2512516975403,125000,,,,,,,,,,,,,,,,,,,,,,
0.0067396704,0.0,1.1860236,0.4405589,500.0,5.0,20,50.0,0.5872899,-9.344615,-80.28265,-137.6169,5.0938077,-5.677588,345.639,0.0,0.5225133,0.5225133,9.843441e-05,0.0003,26.719694,0.00858466453552246,1175.1747930049896,130000,,,,,,,,,,,,,,,,,,,,,,
0.012897098,0.0,0.9147017,0.44198456,500.0,5.0,20,50.0,0.6987848,-11.038834,-78.55817,-136.05595,4.9228506,-5.466162,312.6774,0.0,0.40428403,0.40428403,9.823391e-05,0.0003,20.925882,0.0084416757106781,1217.3834052085876,135000,,,,,,,,,,,,,,,,,,,,,,
0.0068661263,0.0,1.0724711,0.4369777,500.0,5.0,20,50.0,0.5784712,-2.1415005,-80.42551,-133.7809,7.4903636,-7.422349,366.2605,0.0,0.468646,0.468646,9.8021614e-05,0.0003,24.017635,0.008600320291519165,1260.3852167129517,140000,,,,,,,,,,,,,,,,,,,,,,
0.007803422,0.0,1.0603813,0.43726286,500.0,5.0,20,50.0,0.5622024,0.4719834,-76.48422,-134.81976,6.3420095,-6.959642,363.17664,0.0,0.46366534,0.46366534,9.779754e-05,0.0003,23.753273,0.008056761646270751,1300.6692101955414,145000,,,,,,,,,,,,,,,,,,,,,,
0.0083406735,0.0,1.0304093,0.43641073,500.0,5.0,20,50.0,0.6539918,3.2863457,-75.267914,-99.05818,10.357091,-5.8282423,322.8103,0.0,0.4496817,0.4496817,9.756177e-05,0.0003,23.146418,0.008392861938476562,1342.6337189674377,150000,,,,,,,,,,,,,,,,,,,,,,
0.008308253,0.0,1.101587,0.4398934,500.0,5.0,20,50.0,1.0635151,-5.8708477,-75.33215,-99.064316,6.0651283,-6.075915,342.84372,0.0,0.48458087,0.48458087,9.7314376e-05,0.0003,25.300867,0.008851867389678955,1386.8932538032532,155000,,,,,,,,,,,,,,,,,,,,,,
0.006297146,0.0,0.8715398,0.44018194,500.0,5.0,20,50.0,1.477215,-0.10257994,-76.89167,-99.06407,7.566109,-7.5409713,455.5199,0.0,0.38363606,0.38363606,9.7055396e-05,0.0003,20.665316,0.00846479992866516,1429.2174489498138,160000,,,,,,,,,,,,,,,,,,,,,,
0.006429322,0.0,1.0298884,0.4360717,500.0,5.0,20,50.0,0.62392724,-8.144016,-77.57657,-122.19446,4.4911966,-6.247286,300.23987,0.0,0.44910514,0.44910514,9.6784934e-05,0.0003,23.085613,0.008360750818252563,1471.0214035511017,165000,,,,,,,,,,,,,,,,,,,,,,
0.010958671,0.0,1.0593133,0.4330515,500.0,5.0,20,50.0,0.5508141,-11.669846,-80.16546,-116.77432,7.0458975,-6.5416026,340.94934,0.0,0.45873722,0.45873722,9.6503034e-05,0.0003,23.498634,0.008477728462219239,1513.410255908966,170000,,,,,,,,,,,,,,,,,,,,,,
0.007966068,0.0,1.0033337,0.4340652,500.0,5.0,20,50.0,0.44814056,0.12321064,-77.517265,-98.75492,5.2676396,-4.625422,273.56168,0.0,0.43551224,0.43551224,9.62098e-05,0.0003,22.231718,0.008245585918426513,1554.638381242752,175000,,,,,,,,,,,,,,,,,,,,,,
0.0068871016,0.0,0.86802703,0.4351174,500.0,5.0,20,50.0,0.5730335,-0.23133817,-77.496826,-114.790115,5.3188047,-5.8237667,269.56897,0.0,0.37769365,0.37769365,9.59053e-05,0.0003,19.464602,0.008281396293640136,1596.0456490516663,180000,,,,,,,,,,,,,,,,,,,,,,
0.007602884,0.0,0.92550445,0.4289674,500.0,5.0,20,50.0,0.49700555,-28.414019,-79.63878,-99.127266,7.6591835,-6.2247233,290.42322,0.0,0.39701122,0.39701122,9.558961e-05,0.0003,20.35517,0.008071742343902589,1636.4045577049255,185000,,,,,,,,,,,,,,,,,,,,,,
0.010330616,0.0,1.0558537,0.42538378,500.0,5.0,20,50.0,1.0560205,-26.776058,-76.4232,-99.124886,5.755042,-6.6327147,311.46545,0.0,0.44914305,0.44914305,9.526282e-05,0.0003,23.523504,0.008405275583267213,1678.4310910701752,190000,,,,,,,,,,,,,,,,,,,,,,
0.0076017166,0.0,1.0740616,0.42153707,500.0,5.0,20,50.0,0.41835877,0.31687373,-77.6886,-99.038605,5.746721,-7.290081,319.37305,0.0,0.4527568,0.4527568,9.4925024e-05,0.0003,23.0638,0.008091592693328858,1718.8892335891724,195000,,,,,,,,,,,,,,,,,,,,,,
0.0060633714,0.0,1.0598822,0.4172217,500.0,5.0,20,50.0,0.54560214,-5.1616383,-75.8979,-99.126434,7.5848346,-5.004145,314.92236,0.0,0.44220585,0.44220585,9.457632e-05,0.0003,22.661959,0.008396171522140504,1760.870290517807,200000,,,,,,,,,,,,,,,,,,,,,,
0.008479661,0.0,1.0444221,0.41861197,500.0,5.0,20,50.0,0.39008754,-8.327712,-80.68304,-98.8251,6.138843,-6.2990527,283.8561,0.0,0.43720764,0.43720764,9.42168e-05,0.0003,22.25895,0.02157345371246338,1868.7377066612244,205000,,,,,,,,,,,,,,,,,,,,,,
0.0065831663,0.0,0.9259663,0.42458558,500.0,5.0,20,50.0,0.360549,-1.8040272,-79.2121,-103.249504,5.6166587,-5.7357,288.2401,0.0,0.3931519,0.3931519,9.384654e-05,0.0003,20.024727,0.008269578456878661,1910.085744380951,210000,,,,,,,,,,,,,,,,,,,,,,
0.008343829,0.0,1.0334224,0.417202,500.0,5.0,20,50.0,0.5128684,-6.8902154,-74.6519,-101.45992,7.055313,-7.5906353,292.77396,0.0,0.43114585,0.43114585,9.346567e-05,0.0003,22.078505,0.008143653869628906,1950.8041577339172,215000,,,,,,,,,,,,,,,,,,,,,,
0.007899417,0.0,0.93940854,0.41830322,500.0,5.0,20,50.0,0.83802235,-4.52501,-76.40102,-99.09825,5.8918304,-5.494294,276.7271,0.0,0.39295763,0.39295763,9.30743e-05,0.0003,20.493803,0.008246577835083008,1992.037184715271,220000,,,,,,,,,,,,,,,,,,,,,,
0.0073224716,0.0,1.0477673,0.4197085,500.0,5.0,20,50.0,0.402636,-10.190911,-79.180214,-98.90597,6.088859,-5.2695417,296.51392,0.0,0.4397568,0.4397568,9.267249e-05,0.0003,22.397799,0.007868561553955078,2031.3801329135895,225000,,,,,,,,,,,,,,,,,,,,,,
0.007306874,0.0,1.0260899,0.42183495,500.0,5.0,20,50.0,0.373784,0.20570068,-77.705826,-99.11288,6.1328,-4.703081,273.54477,0.0,0.43284056,0.43284056,9.2260394e-05,0.0003,22.023117,0.008208694791793824,2072.4237587451935,230000,,,,,,,,,,,,,,,,,,,,,,
0.006976099,0.0,1.0290058,0.4165527,500.0,5.0,20,50.0,0.42218703,0.28446823,-76.097176,-98.94352,9.740581,-5.614915,317.61096,0.0,0.42863512,0.42863512,9.183811e-05,0.0003,21.860918,0.0081658438205719,2113.253121137619,235000,,,,,,,,,,,,,,,,,,,,,,
0.0064293193,0.0,0.9582182,0.4239063,500.0,5.0,20,50.0,0.27845976,-0.038776368,-76.88614,-98.753456,4.5141892,-4.837406,268.04156,0.0,0.40619475,0.40619475,9.1405775e-05,0.0003,20.594627,0.007937561368942261,2152.9410762786865,240000,,,,,,,,,,,,,,,,,,,,,,
0.010158642,0.0,0.8985311,0.42215443,500.0,5.0,20,50.0,0.42430884,-10.240985,-75.90422,-98.82766,7.3598785,-4.438147,275.8886,0.0,0.3793189,0.3793189,9.0963455e-05,0.0003,19.400412,0.008112787532806396,2193.505160331726,245000,,,,,,,,,,,,,,,,,,,,,,
0.007349326,0.0,0.990799,0.41689745,500.0,5.0,20,50.0,0.5465452,-1.0318882,-76.35773,-98.70967,5.5619383,-5.4190755,290.49014,0.0,0.4130616,0.4130616,9.051133e-05,0.0003,21.206974,0.008210394668579101,2234.5572714805603,250000,,,,,,,,,,,,,,,,,,,,,,
0.0062394217,0.0,0.9040696,0.41786844,500.0,5.0,20,50.0,0.6891453,-6.419151,-75.428444,-98.642815,5.8582783,-4.439955,290.80225,0.0,0.37778214,0.37778214,9.004948e-05,0.0003,19.584492,0.007834973430633545,2273.7322783470154,255000,,,,,,,,,,,,,,,,,,,,,,
0.007934682,0.0,1.0184528,0.41746506,500.0,5.0,20,50.0,0.5761881,-18.730913,-75.81114,-98.8277,10.171297,-6.5327725,336.86646,0.0,0.42516842,0.42516842,8.9578054e-05,0.0003,21.842545,0.008071106767654419,2314.0879538059235,260000,,,,,,,,,,,,,,,,,,,,,,
0.006390381,0.0,1.0490887,0.4144941,500.0,5.0,20,50.0,0.48079118,0.88967395,-76.5238,-98.5409,4.968874,-4.8607893,269.02496,0.0,0.4348411,0.4348411,8.909717e-05,0.0003,22.229235,0.0082325843334198,2355.2509245872498,265000,,,,,,,,,,,,,,,,,,,,,,
0.007863123,0.0,1.0494264,0.40897486,500.0,5.0,20,50.0,0.37585524,1.2826638,-76.24619,-98.83586,5.6482673,-5.598117,271.45972,0.0,0.42918903,0.42918903,8.860696e-05,0.0003,21.84317,0.0075190464973449705,2392.8462908267975,270000,,,,,,,,,,,,,,,,,,,,,,
0.0059711593,0.0,0.9547066,0.41121197,500.0,5.0,20,50.0,0.6026197,-1.2400641,-73.99972,-98.97149,4.936602,-4.2899685,265.3484,0.0,0.39258677,0.39258677,8.810758e-05,0.0003,20.23793,0.007719340515136719,2431.443100452423,275000,,,,,,,,,,,,,,,,,,,,,,
0.0069775535,0.0,0.897686,0.40328056,500.0,5.0,20,50.0,0.3922559,-0.43421316,-76.676575,-99.39344,5.281735,-5.4625893,264.70877,0.0,0.3620193,0.3620193,8.759914e-05,0.0003,18.500198,0.008037365865707398,2471.6299664974213,280000,,,,,,,,,,,,,,,,,,,,,,
0.00621727,0.0,1.0634005,0.4011099,500.0,5.0,20,50.0,0.45076072,-8.04797,-77.69855,-100.6569,7.222639,-7.958977,300.74817,0.0,0.4265405,0.4265405,8.708179e-05,0.0003,21.784002,0.007830433750152587,2510.782269716263,285000,,,,,,,,,,,,,,,,,,,,,,
0.005665065,0.0,0.9636933,0.40572724,500.0,5.0,20,50.0,0.45881915,0.33601058,-76.2206,-98.57198,5.3846354,-7.7689104,280.11713,0.0,0.3909966,0.3909966,8.655565e-05,0.0003,20.014313,0.007829584169387817,2549.93021941185,290000,,,,,,,,,,,,,,,,,,,,,,
0.0073934067,0.0,1.0473572,0.4069217,500.0,5.0,20,50.0,0.29025552,-12.632593,-77.03856,-98.22608,5.3298116,-4.8963757,274.55246,0.0,0.42619237,0.42619237,8.602091e-05,0.0003,21.607267,0.007609094047546386,2587.975734472275,295000,,,,,,,,,,,,,,,,,,,,,,
0.008505275,0.0,0.9891725,0.40528736,500.0,5.0,20,50.0,0.47786304,-13.724553,-76.41432,-98.71694,10.314897,-8.700411,292.2569,0.0,0.40089908,0.40089908,8.547767e-05,0.0003,20.531322,0.007530929231643677,2625.6304848194122,300000,,,,,,,,,,,,,,,,,,,,,,
0.0057949107,0.0,1.023494,0.40823418,500.0,5.0,20,50.0,0.5003975,-15.294662,-77.074684,-99.44992,5.2621837,-8.308062,275.82394,0.0,0.41782522,0.41782522,8.49261e-05,0.0003,21.397455,0.019820385551452636,2724.7326321601868,305000,,,,,,,,,,,,,,,,,,,,,,
0.007838117,0.0,0.9125804,0.4091676,500.0,5.0,20,50.0,0.34537363,-8.168189,-76.9321,-98.776054,5.578865,-5.8748755,245.28249,0.0,0.3733983,0.3733983,8.436636e-05,0.0003,19.023127,0.00828729281425476,2766.169312953949,310000,,,,,,,,,,,,,,,,,,,,,,
0.0071502933,0.0,1.048592,0.40821758,500.0,5.0,20,50.0,0.2807554,-8.687243,-75.844406,-98.57954,4.4247036,-5.622619,258.28406,0.0,0.42805368,0.42805368,8.3798586e-05,0.0003,21.69059,0.008787619066238404,2810.107625246048,315000,,,,,,,,,,,,,,,,,,,,,,
