training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
72.90194,0.0070854574,0.2646259,-72.89485,72.89485,0.98149526,0.57963854,100.0,1.0,20,10.0,0.34731406,0.24120483,-72.912476,-99.89626,2.5423193,-1.7915293,95.77046,0.07481998,0.5689125,0.5689125,9.9606885e-05,0.0003,78.93838,0.003720675802230835,462.441205739975,90000,,,,,,
68.179504,0.007667709,0.42500597,-68.17184,68.17184,1.073825,0.5730589,100.0,1.0,20,10.0,0.59338474,-0.07876404,-68.55977,-99.5236,2.0509844,-2.1347272,119.7318,0.06487171,0.615365,0.615365,9.950265e-05,0.0003,74.92654,0.0036941714763641356,480.9120674133301,95000,,,,,,
72.94271,0.010749909,0.2736709,-72.93196,72.93196,1.0187519,0.57369226,100.0,1.0,20,10.0,0.4645841,-3.1229126,-72.99332,-100.14402,1.9511404,-2.6825643,112.46509,0.07470329,0.58445007,0.58445007,9.938626e-05,0.0003,79.25179,0.0036500372886657715,499.1622574329376,100000,,,,,,
67.291084,0.009049984,0.27825105,-67.282036,67.282036,0.8815462,0.5680887,100.0,1.0,20,10.0,0.41113275,0.19746377,-67.29068,-100.12817,3.4638348,-1.658061,101.07349,0.078455776,0.50079644,0.50079644,9.9257726e-05,0.0003,72.71018,0.01491101279258728,573.7173309326172,105000,,,,,,
69.375404,0.02256312,0.555281,-69.352844,69.352844,1.6095086,0.57793945,100.0,1.0,20,10.0,0.3790654,0.019898936,-69.387405,-99.96047,3.4019272,-3.5050302,120.210495,0.13298166,0.93019855,0.93019855,9.91171e-05,0.0003,79.05646,0.0036996238231658935,592.2154541015625,110000,,,,,,
67.585075,0.012167426,0.3018307,-67.57291,67.57291,0.8369371,0.6034811,100.0,1.0,20,10.0,0.43642038,0.2488636,-67.8217,-100.02706,2.0077403,-2.146543,104.60479,0.070760265,0.50507575,0.50507575,9.896442e-05,0.0003,73.07225,0.0036979445934295654,610.705180644989,115000,,,,,,
73.02531,0.010303521,0.35011607,-73.015,73.015,0.7986805,0.59639746,100.0,1.0,20,10.0,0.45367128,0.18025833,-73.214554,-99.97655,1.2698299,-1.7063274,94.55349,0.06769447,0.476331,0.476331,9.8799705e-05,0.0003,78.242294,0.003648876428604126,628.9495670795441,120000,,,,,,
70.03837,0.014885741,0.35796443,-70.02348,70.02348,1.0823066,0.591022,100.0,1.0,20,10.0,0.50347495,-0.4956498,-70.32438,-100.221504,2.1796176,-1.5101141,111.71048,0.0576977,0.63966703,0.63966703,9.8623015e-05,0.0003,76.93851,0.0036967603206634523,647.4333727359772,125000,,,,,,
68.475876,0.005265536,0.3372832,-68.47061,68.47061,0.9097477,0.59824175,100.0,1.0,20,10.0,0.3541145,0.026978403,-68.668236,-99.79847,2.54169,-2.2241166,104.65048,0.057479784,0.54424906,0.54424906,9.843441e-05,0.0003,74.27248,0.0037081017494201662,665.9738855361938,130000,,,,,,
73.95363,0.0087745795,0.2793316,-73.944855,73.944855,0.8815907,0.5896652,100.0,1.0,20,10.0,0.46910805,-12.0970125,-73.95685,-100.67828,2.2232332,-1.9087645,104.141525,0.06436011,0.51984334,0.51984334,9.823391e-05,0.0003,79.62117,0.0036696410655975343,684.3220953941345,135000,,,,,,
