training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
78.82647,0.014561098,0.3192476,-78.811905,78.811905,1.0672314,0.61486155,100.0,1.0,20,10.0,0.45206594,-0.16755632,-78.83808,-99.46219,2.3416886,-1.9507686,111.638145,0.08703713,0.6561995,0.6561995,9.9606885e-05,0.0003,85.84053,0.003705625152587891,471.01482009887695,90000,,,,,,
79.20489,0.012613306,0.32698998,-79.192276,79.192276,0.8860539,0.60919946,100.0,1.0,20,10.0,0.28872257,0.13019645,-79.19125,-99.82921,2.32949,-2.3186505,116.433136,0.08019276,0.5397836,0.5397836,9.950265e-05,0.0003,84.89144,0.0036972918510437013,489.5012831687927,95000,,,,,,
80.607544,0.010488989,0.3047738,-80.59705,80.59705,1.093838,0.61163616,100.0,1.0,20,10.0,0.31284338,-0.049895167,-80.68829,-99.72134,1.8087449,-2.363161,106.20713,0.061643448,0.6690309,0.6690309,9.938626e-05,0.0003,87.610695,0.0036373369216918944,507.68797159194946,100000,,,,,,
81.708244,0.010704244,0.46152854,-81.69754,81.69754,1.1526631,0.615969,100.0,1.0,20,10.0,0.37329012,-0.745693,-81.870346,-99.96873,2.3410678,-2.070578,107.17929,0.08386196,0.7100047,0.7100047,9.9257726e-05,0.0003,89.18158,0.021410755205154418,614.7417516708374,105000,,,,,,
76.60836,0.008301482,0.4353216,-76.60006,76.60006,1.0835875,0.62549794,100.0,1.0,20,10.0,0.9391018,0.08616884,-76.872475,-100.225075,1.4039977,-1.5292059,121.39032,0.07771219,0.67778176,0.67778176,9.91171e-05,0.0003,84.32528,0.003708243989944458,633.2829761505127,110000,,,,,,
81.059746,0.010007911,0.3824356,-81.049736,81.049736,1.0789894,0.6285834,100.0,1.0,20,10.0,0.32150075,-2.1702797,-81.143295,-100.51227,1.5548569,-1.9010894,93.24534,0.061127286,0.6782348,0.6782348,9.896442e-05,0.0003,88.1636,0.0036489097118377685,651.5275285243988,115000,,,,,,
79.42817,0.008871366,0.29650658,-79.4193,79.4193,0.916351,0.6231524,100.0,1.0,20,10.0,0.24551795,-0.007902756,-79.45428,-100.54078,1.4759676,-2.4772215,88.30644,0.059582546,0.5710263,0.5710263,9.8799705e-05,0.0003,85.38396,0.003721286392211914,670.1339683532715,120000,,,,,,
78.05808,0.0036403392,0.29562652,-78.05444,78.05444,0.8207951,0.6272351,100.0,1.0,20,10.0,0.1590971,0.18162404,-78.0663,-100.503044,1.7703899,-1.7528741,92.06929,0.071000874,0.51483154,0.51483154,9.8623015e-05,0.0003,83.36549,0.0037051538944244387,688.6597421169281,125000,,,,,,
79.563576,0.005473148,0.26849127,-79.558105,79.558105,0.77452785,0.6274151,100.0,1.0,20,10.0,0.26368904,-0.10609281,-79.612366,-100.413734,2.1094646,-1.4720548,87.80581,0.045372434,0.48595047,0.48595047,9.843441e-05,0.0003,84.68677,0.0036503754615783693,706.9116232395172,130000,,,,,,
77.57306,0.013337769,0.30569667,-77.55972,77.55972,0.9093305,0.6099759,100.0,1.0,20,10.0,0.49218002,0.13526076,-77.562225,-100.485916,1.5995648,-1.5921817,92.38792,0.06877018,0.5546696,0.5546696,9.823391e-05,0.0003,83.61194,0.003717911195755005,725.5011873245239,135000,,,,,,
79.20122,0.009419798,0.27173418,-79.191795,79.191795,0.9876462,0.60674393,100.0,1.0,20,10.0,0.5807446,0.23346448,-79.250374,-100.86822,3.474645,-3.7028532,146.16136,0.060372435,0.59924835,0.59924835,9.8021614e-05,0.0003,85.774445,0.0037183956623077392,744.0931701660156,140000,,,,,,
77.343666,0.008625889,0.36162353,-77.33504,77.33504,1.1855621,0.5931331,100.0,1.0,20,10.0,0.3815815,-0.07464266,-77.46159,-100.62749,2.4030979,-2.2022195,146.00235,0.051799398,0.70319617,0.70319617,9.779754e-05,0.0003,84.75721,0.0036520950317382814,762.3536493778229,145000,,,,,,
79.54054,0.005778984,0.26724917,-79.53477,79.53477,1.1222169,0.5758547,100.0,1.0,20,10.0,0.4554591,-0.053998306,-79.586334,-100.3462,2.030256,-2.526681,109.74186,0.06931698,0.6462339,0.6462339,9.756177e-05,0.0003,86.45834,0.003707083082199097,780.8890688419342,150000,,,,,,
80.84901,0.013285426,0.46542212,-80.835724,80.835724,1.0931876,0.57965857,100.0,1.0,20,10.0,0.259847,0.4605454,-81.05171,-100.28204,1.5201715,-1.3559151,86.16449,0.07528062,0.6336756,0.6336756,9.7314376e-05,0.0003,87.44561,0.0036673874378204347,799.2260110378265,155000,,,,,,
78.104965,0.0058228215,0.2775002,-78.099144,78.099144,0.90172505,0.5738614,100.0,1.0,20,10.0,0.39936274,0.019090146,-78.10765,-100.30751,2.142604,-1.5975056,104.817665,0.07110898,0.51746523,0.51746523,9.7055396e-05,0.0003,83.67898,0.003718803024291992,817.8200294971466,160000,,,,,,
77.11834,0.0035238136,0.27240524,-77.114815,77.114815,1.0259813,0.5630985,100.0,1.0,20,10.0,0.22517517,-0.056621745,-77.13404,-100.748184,1.590811,-1.7940848,86.41042,0.07129679,0.5777285,0.5777285,9.6784934e-05,0.0003,83.1208,0.0037126645088195803,836.3833563327789,165000,,,,,,
