training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0052184444,0.0,0.8293867,0.5057012,500.0,5.0,20,50.0,0.96039677,0.30280775,-79.23158,-95.56194,6.6856585,-8.274726,489.1903,0.0,0.41942182,0.41942182,9.999385e-05,0.0003,21.936705,0.00855632381439209,571.758829832077,55000,,,,,,,,,,,,,,,,,,,,,,
0.009788851,0.0,1.0379171,0.49902922,500.0,5.0,20,50.0,1.119382,-28.186817,-80.38143,-96.94991,7.008519,-8.66992,507.3673,0.0,0.517951,0.517951,9.99754e-05,0.0003,27.026722,0.00801853051185608,611.8516297340393,60000,,,,,,,,,,,,,,,,,,,,,,
0.008556743,0.0,1.099868,0.4921963,500.0,5.0,20,50.0,0.8134891,-10.162225,-79.007324,-104.07928,9.269735,-8.29745,479.22064,0.0,0.541351,0.541351,9.994465e-05,0.0003,27.889597,0.008005610561370849,651.8798134326935,65000,,,,,,,,,,,,,,,,,,,,,,
0.009993067,0.0,0.9367525,0.48374304,500.0,5.0,20,50.0,1.1256758,-12.245176,-78.592514,-107.33999,7.9407907,-6.937575,492.03613,0.0,0.45314753,0.45314753,9.990162e-05,0.0003,23.793047,0.007624078178405762,690.0003190040588,70000,,,,,,,,,,,,,,,,,,,,,,
0.009039462,0.0,0.86786324,0.4679856,500.0,5.0,20,50.0,0.6929048,0.5496554,-77.514244,-98.010315,8.02772,-7.324773,351.03424,0.0,0.40614748,0.40614748,9.984629e-05,0.0003,21.009317,0.00768606743812561,728.4307601451874,75000,,,,,,,,,,,,,,,,,,,,,,
0.008452385,0.0,1.0520762,0.46259156,500.0,5.0,20,50.0,0.66370237,-1.5041499,-78.060326,-98.59223,5.6432385,-7.767686,372.44693,0.0,0.48668158,0.48668158,9.977873e-05,0.0003,25.006235,0.007691810655593872,766.8899366855621,80000,,,,,,,,,,,,,,,,,,,,,,
0.0045104306,0.0,0.9190154,0.45855203,500.0,5.0,20,50.0,2.3652987,-1.8217475,-75.23468,-98.42787,19.783905,-19.337763,703.8753,0.0,0.4214164,0.4214164,9.969891e-05,0.0003,23.440628,0.007857214117050171,806.1761169433594,85000,,,,,,,,,,,,,,,,,,,,,,
0.0078045144,0.0,0.9836952,0.45462218,500.0,5.0,20,50.0,1.1822056,-10.868197,-76.260925,-98.79076,9.875158,-6.117835,356.90228,0.0,0.4472097,0.4472097,9.9606885e-05,0.0003,23.550495,0.007720457124710083,844.7785120010376,90000,,,,,,,,,,,,,,,,,,,,,,
0.009846239,0.0,1.0308194,0.44681722,500.0,5.0,20,50.0,0.5740307,-4.621005,-76.08067,-98.43244,7.0820236,-8.621565,362.05212,0.0,0.46058786,0.46058786,9.950265e-05,0.0003,23.61327,0.007565616083145142,882.6066920757294,95000,,,,,,,,,,,,,,,,,,,,,,
0.010690563,0.0,1.0343978,0.44372326,500.0,5.0,20,50.0,0.7029861,-4.446257,-77.00206,-99.18158,7.076715,-8.015903,392.66098,0.0,0.4589864,0.4589864,9.938626e-05,0.0003,23.662996,0.007335681486129761,919.2851943969727,100000,,,,,,,,,,,,,,,,,,,,,,
