training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.003981062,0.0,0.93128306,0.4946797,100.0,1.0,20,10.0,0.4000627,0.5172839,-81.28044,-99.50294,1.9846294,-2.28573,92.05282,0.0,0.4606868,0.4606868,9.969891e-05,0.0003,5.0109115,0.007735953760147095,762.467173576355,85000,,,,,,,,,,,,,,,,,,,,,,
0.002956227,0.0,0.9532922,0.49473953,100.0,1.0,20,10.0,0.47291,-0.04185532,-80.98675,-99.19516,2.4278758,-1.269204,94.415245,0.0,0.47163135,0.47163135,9.9606885e-05,0.0003,5.1921797,0.0073466157913208005,799.2002913951874,90000,,,,,,,,,,,,,,,,,,,,,,
0.0063259527,0.0,1.003851,0.49078178,100.0,1.0,20,10.0,0.29278198,0.22262082,-81.47482,-101.47374,2.1188326,-1.5621214,94.09559,0.0,0.4926718,0.4926718,9.950265e-05,0.0003,5.225826,0.007522782373428345,836.8142428398132,95000,,,,,,,,,,,,,,,,,,,,,,
0.003626984,0.0,1.0117285,0.48653656,100.0,1.0,20,10.0,0.49380785,-0.14495404,-83.44719,-104.959366,9.481362,-7.8730593,191.28792,0.0,0.4922429,0.4922429,9.938626e-05,0.0003,5.4198637,0.007363025903701782,873.6294419765472,100000,,,,,,,,,,,,,,,,,,,,,,
0.00097468833,0.0,1.0483736,0.4828659,100.0,1.0,20,10.0,0.4887476,-0.83686614,-83.35292,-99.774765,1.9164975,-1.5303732,96.24406,0.0,0.50622386,0.50622386,9.9257726e-05,0.0003,5.551961,0.023664632511138917,991.9528157711029,105000,,,,,,,,,,,,,,,,,,,,,,
0.0038281525,0.0,0.9199139,0.4836877,100.0,1.0,20,10.0,0.64902747,-0.025010884,-78.80332,-99.738174,2.1285841,-1.942704,125.44556,0.0,0.44495106,0.44495106,9.91171e-05,0.0003,5.1023664,0.00826438946723938,1033.2749869823456,110000,,,,,,,,,,,,,,,,,,,,,,
0.0076939682,0.0,1.0213908,0.47995314,100.0,1.0,20,10.0,0.41014713,-1.2737553,-83.65054,-102.83472,1.6239121,-2.4249597,85.896225,0.0,0.49021977,0.49021977,9.896442e-05,0.0003,5.320039,0.008494758701324464,1075.748987197876,115000,,,,,,,,,,,,,,,,,,,,,,
0.0022319723,0.0,1.0972775,0.48185807,100.0,1.0,20,10.0,0.34558478,0.015423492,-81.68309,-100.07796,1.8170309,-2.5257328,87.64197,0.0,0.528732,0.528732,9.8799705e-05,0.0003,5.635137,0.008091035699844361,1116.2043664455414,120000,,,,,,,,,,,,,,,,,,,,,,
0.0019089538,0.0,1.0849342,0.48416534,100.0,1.0,20,10.0,0.23765266,0.32299736,-79.09717,-99.66118,1.2478579,-1.4824944,78.75979,0.0,0.52528757,0.52528757,9.8623015e-05,0.0003,5.4924374,0.008393541097640992,1158.1722762584686,125000,,,,,,,,,,,,,,,,,,,,,,
0.0027148565,0.0,0.88527876,0.48276266,100.0,1.0,20,10.0,0.3390939,0.06426686,-81.062485,-104.78997,1.2972807,-2.120795,88.60721,0.0,0.42737955,0.42737955,9.843441e-05,0.0003,4.6156044,0.008187013816833497,1199.1075506210327,130000,,,,,,,,,,,,,,,,,,,,,,
0.0034211332,0.0,0.938317,0.48054272,100.0,1.0,20,10.0,0.53031063,0.035483286,-78.81116,-100.32204,2.0773618,-1.8889654,75.35637,0.0,0.4509014,0.4509014,9.823391e-05,0.0003,5.042746,0.008190008640289306,1240.0577926635742,135000,,,,,,,,,,,,,,,,,,,,,,
0.007345706,0.0,1.0473919,0.4784957,100.0,1.0,20,10.0,0.25068814,0.66584516,-80.676735,-100.05886,1.6273534,-1.3267573,80.907295,0.0,0.5011725,0.5011725,9.8021614e-05,0.0003,5.2697587,0.008370032405853272,1281.9081461429596,140000,,,,,,,,,,,,,,,,,,,,,,
0.0017015298,0.0,0.9293365,0.4793059,100.0,1.0,20,10.0,0.31550962,0.1934224,-79.90068,-99.942566,1.597662,-1.4988048,77.24925,0.0,0.44543648,0.44543648,9.779754e-05,0.0003,4.771576,0.008466641902923584,1324.2415533065796,145000,,,,,,,,,,,,,,,,,,,,,,
0.00515823,0.0,1.0228907,0.4773848,100.0,1.0,20,10.0,0.4200128,-0.14877388,-81.72025,-103.026764,1.8391721,-1.8427175,90.290794,0.0,0.48831248,0.48831248,9.756177e-05,0.0003,5.3082957,0.00871487374305725,1367.8161129951477,150000,,,,,,,,,,,,,,,,,,,,,,
0.0020167732,0.0,1.0907187,0.47958383,100.0,1.0,20,10.0,0.20954812,0.28165084,-82.84093,-100.12048,1.3605183,-1.4181457,81.87038,0.0,0.5230911,0.5230911,9.7314376e-05,0.0003,5.442476,0.008804903745651245,1411.8408365249634,155000,,,,,,,,,,,,,,,,,,,,,,
0.0011867384,0.0,0.9144364,0.47512075,100.0,1.0,20,10.0,0.26918656,0.31733227,-80.29188,-100.78102,1.4100343,-1.390848,71.805275,0.0,0.43446767,0.43446767,9.7055396e-05,0.0003,4.6150503,0.008738649797439576,1455.5342876911163,160000,,,,,,,,,,,,,,,,,,,,,,
0.0020258082,0.0,0.91893226,0.47005972,100.0,1.0,20,10.0,0.48965383,0.1123454,-79.66528,-104.44672,1.5295609,-1.4212214,94.48302,0.0,0.43195304,0.43195304,9.6784934e-05,0.0003,4.81121,0.008287249088287353,1496.9707338809967,165000,,,,,,,,,,,,,,,,,,,,,,
0.0016200987,0.0,0.9953584,0.46712598,100.0,1.0,20,10.0,0.3762709,-0.04748133,-81.101585,-103.070206,3.4922981,-4.35367,123.93941,0.0,0.46495777,0.46495777,9.6503034e-05,0.0003,5.0274687,0.008437649202346801,1539.1591849327087,170000,,,,,,,,,,,,,,,,,,,,,,
0.003953031,0.0,0.97844523,0.4651537,100.0,1.0,20,10.0,0.609551,0.14110525,-79.0367,-99.793564,2.1605954,-2.323025,90.95654,0.0,0.45512742,0.45512742,9.62098e-05,0.0003,5.164778,0.008544247388839722,1581.8806192874908,175000,,,,,,,,,,,,,,,,,,,,,,
0.0035130354,0.0,1.0373957,0.46567258,100.0,1.0,20,10.0,0.20105496,0.36815822,-80.36777,-100.008675,1.9084343,-2.0661225,69.79717,0.0,0.48308674,0.48308674,9.59053e-05,0.0003,5.035435,0.00819253067970276,1622.8434636592865,180000,,,,,,,,,,,,,,,,,,,,,,
0.0029957118,0.0,0.9359514,0.45987734,100.0,1.0,20,10.0,0.20250197,0.19336376,-83.50077,-100.22032,1.4819287,-1.632281,77.16058,0.0,0.43042284,0.43042284,9.558961e-05,0.0003,4.509726,0.008238503265380859,1664.0361776351929,185000,,,,,,,,,,,,,,,,,,,,,,
0.005749987,0.0,1.0131512,0.4618837,100.0,1.0,20,10.0,0.35258973,0.067917034,-80.58728,-102.1147,2.0167427,-1.6298177,76.95932,0.0,0.46795803,0.46795803,9.526282e-05,0.0003,5.03792,0.008130929756164551,1704.6910140514374,190000,,,,,,,,,,,,,,,,,,,,,,
0.0049963165,0.0,0.9367578,0.4600791,100.0,1.0,20,10.0,0.22961222,0.009061769,-81.19265,-99.80825,2.1687148,-1.7202975,79.961975,0.0,0.4309827,0.4309827,9.4925024e-05,0.0003,4.5444355,0.008083162260055543,1745.1070010662079,195000,,,,,,,,,,,,,,,,,,,,,,
