training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.012237668,0.0,0.7173909,-0.012237668,0.012237668,1.0,0.0,3000.0,30.0,0,300.0,1529.8164,3.8536587,-0.030983903,-3.040214,776.88354,-746.7713,17533.129,0.1352163,1.1686206,1.1686206,0.0,0.0003,1880.4148,0.01047050700187683,52.35253882408142,0,,,,,,,
-560.53906,0.06226283,0.09151393,560.6013,-560.6013,40541904.0,0.0,3000.0,30.0,2,300.0,704.24133,1018.99554,557.025,-6.760544,681.91644,-597.16895,43615.94,0.021974087,0.40541905,0.40541905,1e-05,0.0003,265.328,0.007333090591430664,89.01799821853638,5000,,,,,,,
-1674.3677,0.17161022,0.5044183,1674.5393,-1674.5393,78957620.0,0.0,3000.0,30.0,4,300.0,586.32166,2072.0615,1638.4429,24.32996,645.69403,-672.52795,66523.44,0.03898617,0.7895762,0.7895762,2e-05,0.0003,-851.17316,0.0037460310459136964,107.7481575012207,10000,,,,,,,
-2532.5156,0.06602891,0.14248534,2532.5815,-2532.5815,49806256.0,0.0,3000.0,30.0,7,300.0,749.14404,2946.5068,2520.8237,1299.8352,1925.9862,-378.21094,76622.125,0.016987545,0.49806255,0.49806255,3e-05,0.0003,-1633.9529,0.0037622852325439452,126.5595920085907,15000,,,,,,,
-3196.2393,0.059166506,0.16057089,3196.2983,-3196.2983,57354284.0,0.0,3000.0,30.0,9,300.0,591.5727,3635.7717,3180.8872,-44.189964,1265.5737,-304.09802,51319.93,0.010221555,0.57354283,0.57354283,4e-05,0.0003,-2432.6038,0.0036969738483428956,145.0444655418396,20000,,,,,,,
-3796.2893,0.13965723,0.5028888,3796.429,-3796.429,2.315778,0.16829054,3000.0,30.0,12,300.0,232.69101,4183.3877,3762.4856,2481.9656,387.74094,-506.92487,18691.68,0.012077394,0.38972354,0.38972354,5e-05,0.0003,-3446.6814,0.00374694447517395,163.77919149398804,25000,,,,,,,
-4241.6235,0.15573855,0.5396418,4241.7793,-4241.7793,1.7103628,0.32019478,3000.0,30.0,14,300.0,293.83478,4618.35,4204.3794,3118.0,585.915,-641.36224,27230.117,0.038053654,0.54764926,0.54764926,6e-05,0.0003,-3783.4941,0.0037734570503234863,182.6464807987213,30000,,,,,,,
-4547.585,0.17688276,0.5625388,4547.7617,-4547.7617,0.9861515,0.43579286,3000.0,30.0,17,300.0,247.91669,4969.452,4511.2817,3260.5098,282.55927,-295.35272,19503.738,0.0394005,0.42975777,0.42975777,6.9999995e-05,0.0003,-4170.741,0.0037456413745880126,201.37469172477722,35000,,,,,,,
-4812.841,0.103619054,0.37605137,4812.9443,-4812.9443,1.2800771,0.47112474,3000.0,30.0,19,300.0,557.2526,5245.507,4783.4365,3129.7517,362.57904,-318.79626,24555.496,0.025901344,0.603076,0.603076,8e-05,0.0003,-4074.6655,0.003680080795288086,219.7750997543335,40000,,,,,,,
-5081.534,0.14273101,0.41633672,5081.677,-5081.677,1.0758357,0.51938635,3000.0,30.0,20,300.0,220.80934,5469.0083,5046.503,3889.8584,263.70538,-322.69565,10701.947,0.03320252,0.5587744,0.5587744,8.9999994e-05,0.0003,-4693.0923,0.003756819248199463,238.55920433998108,45000,,,,,,,
-5287.857,0.1194204,0.46862754,5287.9766,-5287.9766,0.6363547,0.51503146,3000.0,30.0,20,300.0,198.19812,5644.3257,5252.8594,3955.5378,238.27866,-234.6286,11193.828,0.008058091,0.3277427,0.3277427,1e-04,0.0003,-4991.336,0.003756770658493042,257.3430619239807,50000,,,,,,,
-5397.462,0.157234,0.5375456,5397.619,-5397.619,1.6429657,0.45344806,3000.0,30.0,20,300.0,163.35983,5778.5933,5364.0674,4136.7847,659.9795,-998.13855,20756.516,0.020974856,0.74499965,0.74499965,9.999385e-05,0.0003,-5010.602,0.0037349740505218504,276.0179364681244,55000,,,,,,,
-5517.553,0.1220061,0.48734754,5517.6753,-5517.6753,0.8867524,0.45227274,3000.0,30.0,20,300.0,126.54409,5887.72,5484.031,4108.325,67.04751,-92.23748,5877.4355,0.010690829,0.40105394,0.40105394,9.99754e-05,0.0003,-5270.693,0.003688180685043335,294.45884442329407,60000,,,,,,,
-5602.0107,0.15622516,0.52453095,5602.167,-5602.167,0.71681005,0.42758775,3000.0,30.0,20,300.0,172.05258,5966.0737,5570.8525,-243.85405,159.79367,-157.67067,8509.865,0.013097912,0.30649918,0.30649918,9.994465e-05,0.0003,-5338.0083,0.003741484546661377,313.1662714481354,65000,,,,,,,
-5674.404,0.15863372,0.54885566,5674.5625,-5674.5625,0.7282964,0.42152414,3000.0,30.0,20,300.0,112.666405,6032.655,5641.1787,4389.7563,64.469574,-73.82006,5387.5967,0.014895823,0.3069945,0.3069945,9.990162e-05,0.0003,-5469.639,0.003732180881500244,331.82717967033386,70000,,,,,,,
-5744.992,0.11431226,0.468477,5745.1064,-5745.1064,0.68854064,0.42687008,3000.0,30.0,20,300.0,83.66406,6085.132,5715.3506,4486.098,106.239136,-113.19023,5897.581,0.0056494474,0.2939174,0.2939174,9.984629e-05,0.0003,-5573.153,0.0037360851287841796,350.50760984420776,75000,,,,,,,
