training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,exploration/goal_achieved,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
-0.19262886,0.0,0.51240224,0.19262886,-0.19262886,1.0,0.0,9000.0,90.0,0,900.0,16.909084,3.8560033,0.30027467,-3.086927,1332.5865,-1235.5657,24753.988,0.100370616,0.9441237,0.9441237,0.0,0.0003,866.42773,0.00813841381072998,40.69207406044006,0,,,,,,,
-45.836388,0.033521853,0.082925394,45.86991,-45.86991,25110242.0,0.0,9000.0,90.0,2,900.0,3.348752,449.76553,45.874947,-7.5658445,633.4382,-611.5263,18235.924,0.016120043,0.25110242,0.25110242,1e-05,0.0003,183.50453,0.010510550165176392,93.24483346939087,5000,,,,,,,
-126.4304,0.012911797,0.046850912,126.443306,-126.443306,20016044.0,0.0,9000.0,90.0,4,900.0,24.691473,820.8056,124.10434,-10.865449,743.23956,-1088.2314,19768.21,0.0071382434,0.20016044,0.20016044,2e-05,0.0003,78.40547,0.0036510921001434325,111.50030159950256,10000,,,,,,,
-436.42065,0.02824609,0.14361392,436.4489,-436.4489,52007092.0,0.0,9000.0,90.0,7,900.0,866.3379,1113.8495,401.44617,-16.009329,926.6461,-1457.6321,37432.188,0.017669523,0.5200709,0.5200709,3e-05,0.0003,897.9811,0.0036208818435668946,129.60471534729004,15000,,,,,,,
-891.178,0.0047803735,0.11332372,891.18274,-891.18274,47995640.0,0.0,9000.0,90.0,9,900.0,493.53784,1345.5796,881.8701,392.30936,1903.3467,-2489.8594,24403.35,0.026816603,0.47995642,0.47995642,4e-05,0.0003,34.32065,0.0036239524364471433,147.72448253631592,20000,,,,,,,
-957.2234,0.02073164,0.057935636,957.24414,-957.24414,2.3499439,0.08744855,9000.0,90.0,12,900.0,89.00274,1526.5264,953.1805,671.8685,1044.0734,-870.4955,10413.684,0.008745402,0.20549919,0.20549919,5e-05,0.0003,-683.27136,0.0035918843746185303,165.683908700943,25000,,,,,,,
-971.4765,0.009501394,0.040176988,971.486,-971.486,1.1541606,0.16047458,9000.0,90.0,14,900.0,44.07271,1702.9861,968.32916,618.00745,998.4369,-914.83356,8525.139,0.0055909897,0.18521345,0.18521345,6e-05,0.0003,-760.7117,0.003585481357574463,183.61131978034973,30000,,,,,,,
-1137.4951,0.011429435,0.03752121,1137.5066,-1137.5066,0.6740567,0.22470202,9000.0,90.0,17,900.0,21.45048,1850.6785,1135.7546,718.9174,1088.6893,-546.8743,6468.135,0.005578538,0.1514619,0.1514619,6.9999995e-05,0.0003,-979.729,0.003589003038406372,201.55633974075317,35000,,,,,,,
-1293.5785,0.013387415,0.05643232,1293.5919,-1293.5919,1.3783604,0.24405058,9000.0,90.0,19,900.0,271.20618,1969.6195,1283.8375,809.8838,635.76636,-803.6822,13634.889,0.0073699467,0.33638966,0.33638966,8e-05,0.0003,-719.6216,0.0035555262088775635,219.33397817611694,40000,,,,,,,
-1346.9735,0.016243309,0.035338026,1346.9897,-1346.9897,0.62278897,0.25073564,9000.0,90.0,20,900.0,19.00865,2047.3973,1345.9993,1008.3032,926.41144,-529.02106,7240.3667,0.0070315306,0.15615539,0.15615539,8.9999994e-05,0.0003,-1187.425,0.0035599716663360596,237.13384079933167,45000,,,,,,,
-1411.5852,0.028242655,0.23878862,1411.6134,-1411.6134,1.6684604,0.25885096,9000.0,90.0,20,900.0,607.14386,2101.3762,1368.0828,1012.36993,856.4025,-514.5488,11171.252,0.012028367,0.43188256,0.43188256,1e-04,0.0003,-415.74704,0.0035446226596832276,254.85695934295654,50000,,,,,,,
-1436.694,0.006246886,0.039885473,1436.7002,-1436.7002,0.77241695,0.27886134,9000.0,90.0,20,900.0,530.854,2181.858,1431.0037,956.64526,924.7259,-550.5488,15680.942,0.0059246393,0.21539724,0.21539724,9.999385e-05,0.0003,-711.9824,0.003509398365020752,272.40395617485046,55000,,,,,,,
-1489.5764,0.013445484,0.03239553,1489.5898,-1489.5898,0.54988813,0.25254208,9000.0,90.0,20,900.0,17.558857,2246.2334,1487.1487,1128.009,412.7933,-561.5731,4297.253,0.0050310763,0.1388699,0.1388699,9.99754e-05,0.0003,-1347.0347,0.003540772771835327,290.1078245639801,60000,,,,,,,
-1721.738,0.009407795,0.05818749,1721.7474,-1721.7474,0.7523951,0.24353567,9000.0,90.0,20,900.0,66.46392,2326.3071,1708.9535,1266.0901,540.9794,-420.09683,8361.275,0.0063781235,0.18323503,0.18323503,9.994465e-05,0.0003,-1490.3627,0.0035730624198913575,307.97314071655273,65000,,,,,,,
-1774.6212,0.022362534,0.22383943,1774.6436,-1774.6436,1.1023186,0.24060535,9000.0,90.0,20,900.0,118.54711,2354.6125,1736.6428,1346.3069,356.02356,-301.4919,7449.355,0.010069458,0.26522374,0.26522374,9.990162e-05,0.0003,-1417.3727,0.0035522539615631104,325.7344150543213,70000,,,,,,,
