training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,validation/actor/actor_loss,validation/actor/bound_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/alpha/current_vs_historical_ratio,validation/alpha/historical_avg_loss,validation/alpha/max_alpha_bound,validation/alpha/min_alpha_bound,validation/alpha/valid_count,validation/alpha_weight,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/meanflow/consistency_loss,validation/meanflow/flow_loss,validation/meanflow/mean_flow_loss,validation/total_loss,time/epoch_time,time/total_time,step,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration
106.54182,0.0067095235,0.04195807,-106.53511,106.53511,0.88967836,0.19002305,1200.0,12.0,20,120.0,4.678908,-22.827383,-106.87257,-227.67165,33.273075,-31.68142,669.7583,0.008533209,0.1690594,0.1690594,1e-04,0.0003,131.50786,102.27142,0.004459304,0.040575054,-102.26697,102.26697,0.97168034,0.19094053,1200.0,12.0,20,120.0,12.036821,-28.387606,-102.450676,-220.13126,0.0036900023,0.18553317,0.18553317,136.57222,0.003776168394088745,310.99229979515076,50000,,,,,,,,,,,,
105.58702,0.0014803411,0.044837542,-105.58554,105.58554,0.6701125,0.19991691,1200.0,12.0,20,120.0,6.0838604,-9.500973,-105.68208,-234.89178,21.600859,-23.201374,685.975,0.01105238,0.13396682,0.13396682,9.999385e-05,0.0003,127.7469,104.88826,0.0007934967,0.029246304,-104.88747,104.88747,0.64675415,0.19991691,1200.0,12.0,20,120.0,12.150042,-14.211231,-104.933014,-223.89926,0.0047924942,0.1292971,0.1292971,132.55396,0.0037079834461212157,329.5322232246399,55000,,,,,,,,,,,,
102.36979,0.0041675456,0.029609203,-102.36562,102.36562,0.73539925,0.19730738,1200.0,12.0,20,120.0,3.9190133,-15.532717,-102.74167,-237.94641,39.485004,-42.41166,1069.0339,0.006667839,0.1450997,0.1450997,9.99754e-05,0.0003,123.70077,108.37705,0.0029878952,0.04385401,-108.37406,108.37406,0.69949454,0.1979622,1200.0,12.0,20,120.0,11.428218,-22.88585,-108.641556,-214.48459,0.009875424,0.13847348,0.13847348,136.42209,0.0037709049224853514,348.38675451278687,60000,,,,,,,,,,,,
110.97653,0.0017666842,0.039357465,-110.97476,110.97476,0.7207113,0.20472875,1200.0,12.0,20,120.0,3.2032318,-2.0939329,-111.15784,-247.93799,12.8948145,-13.313539,438.32416,0.0037341714,0.14755031,0.14755031,9.994465e-05,0.0003,131.8858,113.08213,0.0032313638,0.040522438,-113.078896,113.078896,1.0979393,0.20472875,1200.0,12.0,20,120.0,12.445767,-25.415003,-113.46238,-207.69969,0.010052338,0.22477973,0.22477973,152.50146,0.00376333646774292,367.2034430503845,65000,,,,,,,,,,,,
115.53662,0.0046343156,0.033984162,-115.53199,115.53199,0.7414646,0.21082154,1200.0,12.0,20,120.0,3.9893703,-24.690973,-115.828285,-263.82834,22.06587,-24.77822,523.23126,0.006618695,0.1563167,0.1563167,9.990162e-05,0.0003,138.284,114.360016,0.003212864,0.043564048,-114.356804,114.356804,1.0038134,0.21109787,1200.0,12.0,20,120.0,31.501938,-27.209782,-114.8561,-259.6883,0.009027957,0.21190286,0.21190286,171.2903,0.003707137966156006,385.73913979530334,70000,,,,,,,,,,,,
110.66814,0.0025300975,0.033349227,-110.6656,110.6656,0.6913296,0.20772067,1200.0,12.0,20,120.0,3.5126894,1.1055427,-110.63919,-258.01883,15.1618595,-21.410442,514.03516,0.005624698,0.14360344,0.14360344,9.984629e-05,0.0003,131.41324,119.19091,0.00276879,0.045359347,-119.18814,119.18814,0.8457393,0.20772067,1200.0,12.0,20,120.0,17.278496,-25.463005,-119.24271,-233.54399,0.012840539,0.17567754,0.17567754,157.5507,0.003767895984649658,404.5786259174347,75000,,,,,,,,,,,,
113.43791,0.0040412587,0.03496331,-113.43387,113.43387,0.787374,0.20685592,1200.0,12.0,20,120.0,3.4588,-21.387613,-113.47717,-248.90576,17.074055,-17.009296,605.4674,0.007913253,0.16287297,0.16287297,9.977873e-05,0.0003,136.44147,117.94724,0.0023112085,0.032170583,-117.94493,117.94493,0.59578,0.19656202,1200.0,12.0,20,120.0,14.943525,-20.693888,-118.21708,-261.24808,0.008892015,0.11710772,0.11710772,146.9437,0.003700502014160156,423.0811424255371,80000,,,,,,,,,,,,
111.793205,0.004949105,0.047256414,-111.78825,111.78825,0.79263914,0.18645811,1200.0,12.0,20,120.0,4.8573475,-20.877449,-112.103516,-259.85654,25.481726,-22.96522,542.1222,0.0044677774,0.147794,0.147794,9.969891e-05,0.0003,134.38583,116.77072,0.006253959,0.04282797,-116.764465,116.764465,0.7114395,0.18645811,1200.0,12.0,20,120.0,18.356243,-29.707882,-116.691475,-232.77112,0.0052829394,0.13265367,0.13265367,151.04541,0.003799419927597046,442.0782494544983,85000,,,,,,,,,,,,
116.77247,0.008089875,0.033681493,-116.76438,116.76438,0.95060724,0.17627583,1200.0,12.0,20,120.0,3.9108639,0.17934388,-116.79538,-295.11758,62.152954,-34.52125,703.11926,0.0051828166,0.16756909,0.16756909,9.9606885e-05,0.0003,140.79163,118.42477,0.008998575,0.046345945,-118.41577,118.41577,0.9195887,0.17620133,1200.0,12.0,20,120.0,15.003517,-3.1665936,-118.41332,-277.55075,0.008162633,0.16203275,0.16203275,152.87221,0.0037001473426818846,460.57899236679077,90000,,,,,,,,,,,,
118.32683,0.003262394,0.04149459,-118.32356,118.32356,0.74537265,0.17616029,1200.0,12.0,20,120.0,4.043707,-6.4891276,-118.44596,-300.07425,20.068901,-13.692094,491.13058,0.011410171,0.13130507,0.13130507,9.950265e-05,0.0003,138.12715,123.2885,0.0032447171,0.036749113,-123.285255,123.285255,0.9185818,0.17616029,1200.0,12.0,20,120.0,22.1832,-25.618422,-123.432945,-271.07803,0.0032320432,0.16181764,0.16181764,164.88982,0.003766404581069946,479.411021232605,95000,,,,,,,,,,,,
117.22438,0.0029169773,0.032895908,-117.221466,117.221466,0.8467387,0.17463665,1200.0,12.0,20,120.0,6.440104,-33.699142,-117.45887,-304.4477,25.715767,-27.844425,655.8182,0.0056169326,0.14787161,0.14787161,9.938626e-05,0.0003,141.40907,120.105286,0.00237329,0.027501304,-120.10291,120.10291,0.72527,0.17477524,1200.0,12.0,20,120.0,31.879429,-29.254023,-120.19118,-266.22653,0.004046538,0.12675923,0.12675923,167.19582,0.0037040252685546877,497.9311535358429,100000,,,,,,,,,,,,
120.39831,0.0024015463,0.057692796,-120.395905,120.395905,1.0412265,0.1775275,1200.0,12.0,20,120.0,4.8984427,-15.054275,-121.02536,-314.8033,19.653908,-17.990887,487.11743,0.008361357,0.18484634,0.18484634,9.9257726e-05,0.0003,147.47832,123.73571,0.0026113456,0.048525017,-123.7331,123.7331,0.84940195,0.1775275,1200.0,12.0,20,120.0,14.669471,-31.57862,-124.11989,-282.32193,0.0051580495,0.15079221,0.15079221,156.50024,0.01940465545654297,594.954437494278,105000,,,,,,,,,,,,
122.8708,0.001975427,0.057107102,-122.86882,122.86882,1.7994783,0.16858287,1200.0,12.0,20,120.0,12.118747,-11.75442,-123.62419,-315.60788,36.238636,-46.85559,1092.8364,0.010870253,0.3033612,0.3033612,9.91171e-05,0.0003,171.39288,122.40673,0.0024968223,0.043793336,-122.404236,122.404236,0.9964956,0.17593509,1200.0,12.0,20,120.0,24.561485,-22.213142,-122.98221,-261.1248,0.007753166,0.17531854,0.17531854,168.00644,0.0037715235233306884,613.8120625019073,110000,,,,,,,,,,,,
125.02321,0.0010800055,0.034002304,-125.022125,125.022125,0.9133512,0.18127042,1200.0,12.0,20,120.0,3.5937448,-17.997433,-125.11321,-321.70538,19.05053,-20.64956,439.07306,0.0039557265,0.16556355,0.16556355,9.896442e-05,0.0003,148.48459,123.690895,0.0011916407,0.047231507,-123.689705,123.689705,1.0878209,0.18127042,1200.0,12.0,20,120.0,23.377876,-27.026268,-123.79321,-265.6322,0.011646262,0.19718976,0.19718976,170.73154,0.0037072617053985598,632.3483774662018,115000,,,,,,,,,,,,
126.32981,0.0037134662,0.028661007,-126.326096,126.326096,0.7247874,0.20028012,1200.0,12.0,20,120.0,3.3994699,-4.8225603,-126.37803,-330.19977,42.324657,-55.619377,1002.2687,0.011203476,0.1451605,0.1451605,9.8799705e-05,0.0003,147.14854,125.256966,0.003106739,0.0354841,-125.25386,125.25386,0.670531,0.19939448,1200.0,12.0,20,120.0,21.953512,-36.51955,-125.01872,-289.43427,0.0027331135,0.13370018,0.13370018,163.2545,0.0037653998374938963,651.1753838062286,120000,,,,,,,,,,,,
122.87354,0.002675107,0.08889556,-122.870865,122.870865,1.5459495,0.19767097,1200.0,12.0,20,120.0,8.771763,-17.873976,-124.090645,-278.47498,68.59243,-91.19596,1679.6248,0.009297553,0.30558932,0.30558932,9.8623015e-05,0.0003,168.31602,125.41762,0.0024286,0.12138386,-125.41519,125.41519,2.130994,0.19767097,1200.0,12.0,20,120.0,40.071674,-18.561474,-127.44761,-262.04208,0.010465349,0.42123565,0.42123565,216.03757,0.0037114174365997315,669.7324776649475,125000,,,,,,,,,,,,
125.53885,0.0026063463,0.0429371,-125.53624,125.53624,0.52762663,0.19846052,1200.0,12.0,20,120.0,4.1268897,-22.568174,-125.725296,-332.40842,25.445974,-16.185158,423.59048,0.0031253812,0.10471305,0.10471305,9.843441e-05,0.0003,142.23131,129.68388,0.0026189932,0.042320848,-129.68126,129.68126,0.5539445,0.19531772,1200.0,12.0,20,120.0,31.635647,-37.767998,-130.00262,-269.90186,0.0066369656,0.10819517,0.10819517,174.30295,0.0037703285217285157,688.5841269493103,130000,,,,,,,,,,,,
